(주)인정보기술,응용 소프트웨어 개발 및 공급업,20년차,중소기업,31명,49억,49%
(주)디알텍,그 외 기타 전자부품 제조업,10년차,중소기업,44명,140억,32%
(주)부영기업,합성수지 및 기타 플라스틱 물질 제조업,23년차,중소기업,16명,86억,4%
위팜(주),"신선, 냉동 및 기타 수산물 도매업",3년차,중소기업,1명,,
(주)호남샤니,빵류 제조업,37년차,중견기업,305명,,
(주)씨아이에스케미칼,"알루미늄 제련, 정련 및 합금 제조업",10년차,중소기업,25명,31억,31%
하남성심병원,일반 의원,,중소기업,300명,322억,28%
(주)도이치아우토,자동차 신품 판매업,,중소기업,116명,1817억,207%
(주)삼오텍,기타 기계ㆍ장비 조립용 플라스틱 제품 제조업,11년차,중소기업,60명,459억,4%
(주)블라인드코리아,커튼 및 유사제품 제조업,4년차,중소기업,5명,3억,434%
(주)원로그,전자상거래 소매 중개업,6년차,중소기업,7명,25억,170%
(주)무등,폴리스티렌 발포 성형제품 제조업,38년차,,126명,224억,4%
대륭밸브(주),"탭, 밸브 및 유사장치 제조업",35년차,중소기업,30명,,
(유)나비야넷,광고 대행업,6년차,중소기업,5명,12억,9%
(재)광주기독병원,종합 병원,,,1명,,
(주)드림잡스쿨,기타 교육지원 서비스업,14년차,중소기업,51명,,
디에스글로벌 농업회사법인(주),상품 종합 중개업,3년차,중소기업,,,
이에스텍(주),주형 및 금형 제조업,21년차,중견기업,41명,,
메딕스제약(주),완제 의약품 제조업,16년차,중소기업,10명,,
(주)모아에스엔피,그 외 자동차용 신품 부품 제조업,12년차,중소기업,40명,142억,4%
신가병원,종합 병원,,중소기업,212명,242억,7%
목송산업개발(주),주거용 부동산 관리업,30년차,중소기업,이명식,507억,22%
네오마루(주),일반용 전기 조명장치 제조업,11년차,중소기업,28명,,
(주)금경테크,자동차용 신품 전기장치 제조업,8년차,중소기업,35명,93억,78%
(주)유기식품평가원,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업",15년차,중소기업,,12억,151%
(주)알파도,"물질 검사, 측정 및 분석기구 제조업",4년차,중소기업,5명,4억,209%
(주)미보,포장 및 충전업,31년차,,86명,111억,25%
(주)제이카,자동차 임대업,6년차,중소기업,15명,5억,66%
(주)미스터네이처,전자상거래 소매 중개업,5년차,중소기업,19명,72억,27%
(주)더하이,과자류 및 코코아 제품 제조업,7년차,중소기업,69명,45억,71%
(주)광일기공,자동차 차체용 신품 부품 제조업,31년차,,38명,,
(주)호그린에어,응용 소프트웨어 개발 및 공급업,6년차,중소기업,18명,11억,14%
(주)아이비티,축전지 제조업,23년차,중소기업,76명,114억,22%
수완청연한방병원,한방 병원,,,27명,34억,34%
한국광산업진흥회,그 외 기타 분류 안된 사업지원 서비스업,,,18명,,
대영케이씨(주),그 외 기타 전자부품 제조업,7년차,중소기업,,17억,21%
이그닉(주),컴퓨터 제조업,4년차,중소기업,,24억,272%
아이앤테크(주),주형 및 금형 제조업,20년차,중소기업,81명,,
뉴서광(주),그 외 기타 전자부품 제조업,24년차,중소기업,142명,747억,4%
선한병원,종합 병원,,중소기업,230명,242억,5%
(주)다원디엔에스,시스템 소프트웨어 개발 및 공급업,15년차,중소기업,26명,61억,118%
자강산업(주),그 외 기타 플라스틱 제품 제조업,,,115명,,
(주)티엔글로벌,응용 소프트웨어 개발 및 공급업,,중소기업,36명,,
(주)케이테크코리아,육상 금속 골조 구조재 제조업,16년차,중소기업,73명,,
은병원,일반 의원,,중소기업,130명,126억,7%
한아에스에스(주),농업 및 임업용 기계 제조업,30년차,중소기업,54명,250억,14%
신화파스칼(주),금속 절삭기계 제조업,21년차,중소기업,17명,,
KS병원,일반 병원,,중소기업,194명,472억,11%
한국식품연구원부설세계김치연구소,기타 인문 및 사회과학 연구개발업,35년차,,61명,142억,20%
헬로인터내셔널(주),"화장품, 비누 및 방향제 소매업",7년차,중소기업,6명,6억,8%
고려오트론(주),유선 통신장비 제조업,25년차,중소기업,42명,149억,5%
(주)마루이엔지,기타 엔지니어링 서비스업,10년차,중소기업,18명,32억,48%
(주)리치룩스,일반용 전기 조명장치 제조업,19년차,중소기업,30명,,
(주)대유홀딩스,그 외 자동차용 신품 부품 제조업,6년차,중소기업,126명,,
대하산업개발(주),건물용 기계ㆍ장비 설치 공사업,29년차,중소기업,56명,1378억,11%
이노위드(주),그 외 기타 분류 안된 사업지원 서비스업,10년차,대기업,113명,47억,13%
한국아이엠씨(주),운송장비 조립용 플라스틱제품 제조업,21년차,중소기업,117명,,
|주|도시문화집단CS,연구소·컨설팅·조사,8년차,,18명,,
(주)글로리아북,"서적, 잡지 및 기타 인쇄물 도매업",12년차,중소기업,5명,38억,26%
(주)대양기업,산업생산시설 종합건설업,7년차,중소기업,10명,62억,163%
(주)세아씨엔티,배전반 및 전기 자동제어반 제조업,12년차,중소기업,24명,53억,14%
골드프레임(주),일반 영화 및 비디오물 제작업,5년차,중소기업,,10억,146%
(주)라인산업,토목시설물 건설업,,중소기업,43명,1026억,5%
(주)은성테크노,위생용 종이제품 제조업,2년차,중소기업,6명,5억,15%
(주)무등기업평동,그 외 자동차용 신품 부품 제조업,18년차,중소기업,83명,600억,34%
나사(주),일반 통신 공사업,39년차,중소기업,7명,9억,754%
(주)대우컴프레셔,기체 펌프 및 압축기 제조업,7년차,중소기업,56명,448억,13%
(주)대유글로벌,그 외 자동차용 신품 부품 제조업,8년차,중견기업,273명,,
(주)진우정공,자동차용 신품 조향장치 및 현가 장치 제조업,9년차,중소기업,25명,62억,5%
(주)옳은,그 외 기타 식료품 제조업,7년차,중소기업,23명,68억,62%
(주)아이코디,광학렌즈 및 광학요소 제조업,12년차,중소기업,142명,,
농업회사법인(유)감동,전자상거래 소매 중개업,11년차,중소기업,8명,216억,16%
(주)푸드앳홈,전자상거래 소매 중개업,4년차,중소기업,7명,,
(주)은하,주방용 전기기기 제조업,27년차,중소기업,25명,94억,2%
(주)굿솔라,일반전기 공사업,5년차,중소기업,18명,171억,363%
(주)그리다에너지,응용 소프트웨어 개발 및 공급업,6년차,중소기업,10명,17억,23%
농업회사법인(주)조이야드,전자상거래 소매업,,중소기업,21명,146억,17%
(주)인벤테라도시개발,비주거용 건물 개발 및 공급업,14년차,중소기업,1명,17억,229%
루프리코리아,응용 소프트웨어 개발 및 공급업,,,3명,2억,36%
(주)씨피코리아,폴리스티렌 발포 성형제품 제조업,,,68명,264억,3%
(주)찬슬,화장품 제조업,6년차,중소기업,4명,9억,1%
(주)스마트컴퍼니,응용 소프트웨어 개발 및 공급업,9년차,중소기업,9명,,
(주)옵토네스트,기타 반도체소자 제조업,,중소기업,23명,20억,29%
(주)다온홈시스,그 외 기타 개인 및 가정용품 임대업,8년차,중소기업,15명,,
(주)휴먼퍼스트,그 외 기타 분류 안된 섬유제품 제조업,9년차,중소기업,4명,12억,101%
(주)프레시원광주,기타 가공식품 도매업,12년차,대기업,70명,533억,7%
농업회사법인(주)한국농산업연구소,농림수산학 및 수의학 연구개발업,11년차,중소기업,7명,18억,15%
(주)에너지와공조,에너지 저장장치 제조업,27년차,중소기업,21명,,
(주)동강홀딩스,운송장비 조립용 플라스틱제품 제조업,20년차,중견기업,75명,401억,17%
(주)원일,"탭, 밸브 및 유사장치 제조업",,중소기업,32명,,
(주)천마산업,그 외 자동차용 신품 부품 제조업,,중소기업,43명,,
(주)업타운홀릭,전자상거래 소매 중개업,6년차,중소기업,55명,,
삼지토건(주),콘크리트 및 철근 공사업,,,56명,1071억,12%
(주)씨앤에이치,화장품 제조업,3년차,중소기업,9명,,
(주)데이팜,의약품 도매업,,중소기업,37명,244억,13%
(주)행복한도시농촌연구원,도시계획 및 조경설계 서비스업,5년차,중소기업,8명,8억,109%
브이산업(주),기타 토목시설물 건설업,20년차,중소기업,54명,,
(주)우성정공,주형 및 금형 제조업,29년차,중소기업,76명,229억,43%
신일가스(주),산업용 가스 제조업,34년차,중소기업,42명,232억,6%
노바텍(주),폴리스티렌 발포 성형제품 제조업,9년차,중소기업,10명,67억,61%
신밧드,제품 디자인업,,중소기업,,12억,56%
씨엔에이치인더스트리얼코리아(유),기타 자동차 신품 부품 및 내장품 판매업,8년차,중소기업,,370억,2%
(주)지플라텍,그 외 자동차용 신품 부품 제조업,9년차,중소기업,34명,,
(주)이엘티,에너지 저장장치 제조업,9년차,중소기업,20명,47억,56%
(주)워킹맘,기타 과실ㆍ채소 가공 및 저장 처리업,12년차,중소기업,,,
광주문화방송(주),지상파 방송업,58년차,중견기업,80명,,
(주)아파트너스,응용 소프트웨어 개발 및 공급업,6년차,중소기업,32명,10억,34%
(주)씨케이더블유,자동차용 신품 조향장치 및 현가 장치 제조업,3년차,중소기업,,,
(주)한국스치로폴,폴리스티렌 발포 성형제품 제조업,29년차,중소기업,18명,,
(주)선진알미늄,"알루미늄 압연, 압출 및 연신제품 제조업",20년차,중소기업,20명,,
첨단메디케어의원,일반 의원,,중소기업,54명,73억,60%
(유)엘케이쏠라테크,배관 및 냉ㆍ난방 공사업,5년차,중소기업,8명,,
코비코스틸(주),그 외 자동차용 신품 부품 제조업,11년차,중소기업,,,
(주)케이제이메디텍,그 외 기타 의료용 기기 제조업,18년차,중소기업,46명,,
(주)푸드시그널,가금류 가공 및 저장 처리업,4년차,중소기업,7명,62억,50%
(주)호원기업,배관 및 냉ㆍ난방장치 도매업,6년차,중소기업,8명,34억,18%
(재)광주그린카진흥원,비주거용 건물 임대업,11년차,,53명,3억,8%
(주)한진디엔비,동력식 수지공구 제조업,18년차,중소기업,36명,,
(주)셀러,기타 기계ㆍ장비 조립용 플라스틱 제품 제조업,4년차,중소기업,,2억,1270%
(주)범우,그 외 기타 1차 철강 제조업,31년차,,14명,406억,22%
(주)그린시스템,배관 및 냉ㆍ난방 공사업,6년차,중소기업,12명,55억,32%
(주)새롬손해사정,손해 사정업,,중소기업,,38억,7%
(주)대웅모닝컴,가전제품 및 부품 도매업,12년차,중소기업,6명,,
(주)포유컴퓨터,전자상거래 소매업,10년차,중소기업,10명,131억,10%
(주)다나메디컬,동력식 수지공구 제조업,15년차,중소기업,35명,25억,38%
시카프관광개발(주),호텔업,,중소기업,105명,,
(유)삼각에프엠씨,음ㆍ식료품 및 담배 가공기계 제조업,32년차,중소기업,35명,,
(주)지이오하우스,자동차 신품 판매업,,중소기업,101명,542억,37%
지앤씨(유),자동차 엔진용 신품 부품 제조업,25년차,중소기업,52명,245억,28%
(주)대우베이스,주방용 전기기기 제조업,5년차,중소기업,장명석,,
(주)미래비전,"물질 검사, 측정 및 분석기구 제조업",8년차,중소기업,17명,,
(주)에이에스에이전주,그 외 자동차용 신품 부품 제조업,,중소기업,245명,,
(주)한듬레포츠,종합 스포츠시설 운영업,15년차,중견기업,28명,38억,1%
제이디텍(주),"전자기 측정, 시험 및 분석기구 제조업",16년차,중소기업,22명,101억,79%
(주)우림테크,기타 산업용 기계 및 장비 도매업,,중소기업,13명,,
(주)아이피몬스터,유선 온라인 게임 소프트웨어 개발 및 공급업,9년차,중소기업,4명,,
(주)성산씨엔에스,유선 통신업,10년차,중소기업,14명,28억,27%
창성정밀(주),주형 및 금형 제조업,,중소기업,37명,94억,36%
지오종합건설(주),기타 토목시설물 건설업,,중소기업,17명,94억,28%
아이비모터스(주),기타 자동차 신품 부품 및 내장품 판매업,14년차,중소기업,24명,503억,50%
엘스타약품(주),의약품 도매업,25년차,,25명,742억,18%
(주)더블저축은행,상호저축은행 및 기타 저축기관,40년차,,35명,208억,48%
풍일산업(주),자동차 차체용 신품 부품 제조업,21년차,,107명,531억,12%
(주)한국정밀,주형 및 금형 제조업,,중소기업,45명,57억,91%
(주)리앤컴퍼니,광고 대행업,8년차,중소기업,5명,,
(주)엠케이에스,컴퓨터시스템 통합 자문 및 구축 서비스업,6년차,중소기업,8명,18억,84%
은성건설(주),"미장, 타일 및 방수 공사업",9년차,중소기업,125명,,
(주)아텍,"도배, 실내장식 및 내장 목공사업",16년차,중소기업,5명,70억,26%
서천산업(주),그 외 자동차용 신품 부품 제조업,,중견기업,16명,234억,21%
대광로제비앙(주),아파트 건설업,,,18명,,
(주)한영피엔에스,금속 스프링 제조업,10년차,중소기업,177명,715억,5%
(주)에어패스,건물용 기계ㆍ장비 설치 공사업,22년차,중소기업,48명,,
이디에스(주),유선 통신장비 제조업,13년차,중소기업,50명,,
(사)남도발전연구원,기타 인문 및 사회과학 연구개발업,,중소기업,,,
(주)지엘에스,"화물 포장, 검수 및 계량 서비스업",12년차,중소기업,113명,235억,162%
광주수완병원,종합 병원,,중소기업,180명,200억,5%
(주)아이콘픽쳐스,기타 인쇄물 출판업,5년차,중소기업,,5억,31%
(주)녹색기술연구소,물질성분 검사 및 분석업,18년차,중소기업,1명,14억,36%
(주)건영기업,그 외 자동차용 신품 부품 제조업,22년차,중소기업,23명,,
(주)세주아이씨티,기타 산업용 기계 및 장비 도매업,3년차,중소기업,,,
(주)세화,기타 자동차 신품 부품 및 내장품 판매업,21년차,중소기업,14명,,
(주)베스텍,금속 절삭기계 제조업,24년차,중소기업,46명,78억,21%
(주)한도테크,운송장비 조립용 플라스틱제품 제조업,21년차,중소기업,82명,,
(주)마하테크,사진장비 및 광학기기 제조업,5년차,중소기업,7명,10억,125%
써니팩토리,컴퓨터 프로그래밍 서비스업,,중소기업,9명,11억,117%
탈렌티스(주),유선 통신장비 제조업,9년차,중소기업,7명,89억,1%
(주)에스알에너지,일반전기 공사업,5년차,중소기업,6명,83억,68%
(주)링크옵틱스,전기용 기계ㆍ장비 및 관련 기자재 도매업,17년차,중소기업,25명,87억,109%
(주)애플,비주거용 건물 임대업,10년차,중소기업,2명,,
라임에프앤비(주),그 외 기타 식료품 제조업,4년차,중소기업,,12억,26088%
(주)모아미래도,아파트 건설업,,"1000대기업,중견기업",10명,416억,65%
(주)위치스,시스템 소프트웨어 개발 및 공급업,14년차,중소기업,28명,40억,22%
주노커피(주),커피 가공업,,중소기업,8명,,
(주)엠알티,기타 전기 변환장치 제조업,11년차,중소기업,16명,33억,2%
(주)디투리소스,시스템 소프트웨어 개발 및 공급업,7년차,중소기업,24명,7억,70%
(주)제이디바이오사이언스,의학 및 약학 연구개발업,5년차,중소기업,,4억,285%
(주)디에이치정공,그 외 기타 전자부품 제조업,8년차,중소기업,36명,164억,30%
(주)경인조경설계사무소,조경 건설업,13년차,중소기업,,12억,7%
(주)전남일보,신문 발행업,33년차,중견기업,67명,42억,5%
(주)운현궁,침구 및 관련제품 제조업,,중소기업,33명,93억,73%
(주)디케이하이테크,주형 및 금형 제조업,13년차,중소기업,9명,24억,8%
(주)비에스소프트,응용 소프트웨어 개발 및 공급업,5년차,중소기업,5명,8억,18%
(주)유창종합식품,수산식물 가공 및 저장 처리업,12년차,중소기업,8명,,
(주)두현시스템,그 외 기타 특수목적용 기계 제조업,7년차,중소기업,28명,138억,33%
(주)제일풍경채,비주거용 건물 개발 및 공급업,,중소기업,55명,1191억,180%
카스토리,자동차 및 트레일러 제조업,,중소기업,,,
(주)광주일보사,신문 발행업,7년차,,116명,,
(주)아이엠씨,그 외 기타 기계 및 장비 도매업,,중소기업,2명,,
광은비지니스(주),경비 및 경호 서비스업,29년차,중소기업,317명,145억,7%
(주)럭키산업,그 외 기타 플라스틱 제품 제조업,,,88명,,
(주)바이오램프,탄소섬유 제조업,6년차,중소기업,2명,4억,88%
국립광주과학관,박물관 운영업,9년차,,33명,,
티피에스코리아(주),금속 절삭기계 제조업,27년차,,23명,,
(주)지오그룹,유원지 및 테마파크 운영업,,중소기업,,121억,5671%
