0,1,2,3,4,5
73,"키네시오 테이핑 적용이 수영선수의 근력, 유연성, 경기력과 피로물질에 미치는 영향 = The Effects of Apply Kinesio Taping on Swimmer's Muscular Strength, Flexibility, Performance and Lactic Acid",김인영,학위논문(석사)-- 인천대학교 대학원 : 체육학과 2010. 2,2010,
74,"학교 밖 청소년의 적응유연성에 관한 연구 : 자아존중감, 가족응집력, 사회적지지를 중심으로 = A Study on Adaptation Flexibility of Adolescents Out of School:Self-esteem, family cohesion and social support",전주희,학위논문(석사)-- 인천대학교 정책대학원 : 사회복지학과 2018.2,2018,"""학교밖청소년"" , ""적응유연성"" , ""자아존중감"" , ""가족응집력"" , ""사회적지지"""
75,"중등영재학생이 지각한 부모 양육태도가 지능, 창의성, 도덕성에 미치는 영향 = Impacts of Perceived Parenting Attitude on the Secondary Gifted Students' Intelligence, Creativity, and Moral Development",이창섭,학위논문(석사)-- 인천대학교 교육대학원: 영재교육전공 영재교육 전공 2009. 2,2009,"양육태도 , 지능 , 창의성 , 도덕성발달 , parenting attitude , intelligence , creativity , moral development"
76,정규 교육과정에 편성된 학교스포츠클럽 수업에 대한 중학생의 만족도 = Satisfaction of Middle School Students on School Sports Clubs Organized into the Regular School Curriculum,한동표,학위논문(석사)-- 인천대학교 교육대학원 : 체육교육전공 2013. 8,2013,
77,운동시간에 따른 혈관탄성의 변화 = The Change of Vascular Compliance According to Exercise Duration,이현우,학위논문(석사)-- 인천대학교 일반대학원 : 체육학과(일반) 2007. 2,2007,"혈관탄성 , Vascular"
78,대학 운동선수의 완벽주의 성격과 훈련관여의 관계,문경원,학위논문(석사)-- 인천대학교 대학원 : 체육학과 2015. 2,2015,
79,유아스포츠클럽에서 부모역할지원 멘토링에 대한 내러티브 탐구,최윤성,학위논문(석사)-- 인천대학교 교육대학원 : 체육교육전공 2010. 8,2010,
80,"과학영재의 지능·창의성 수준에 따른 학업성취, 인성, 학습방법의 차이 = A Study on the Differences of Scholastic Achievement, Personality Traits and Learning Methods according to the Intelligence and Creativity Level of the Scientifically Gifted",윤정현,학위논문(석사)-- 인천대학교 교육대학원 : 영재교육전공 2007. 8,2007,"과학영재 , 지능 , 창의성 , 학업성취 , 인성특성 , 학습방법"
81,성과상여금에 대한 공정성 인식이 조직유효성에 미치는 영향 : 교육행정직공무원들의 직무만족과 조직몰입을 중심으로,김혜숙,학위논문(석사)-- 인천대학교 행정대학원 : 일반행정학과 2013. 2,2013,
82,노인운동참가자의 운동만족 구성개념,조규현,학위논문(석사)-- 인천대학교 교육대학원 : 체육교육전공 2012. 2,2012,"노인운동만족 , 노인운동참가자"
83,숲유치원에서의 문학활동이 유아의 언어표현능력에 미치는 영향 : 인천대학교 숲유치원을 중심으로 = Impact of Literary Activities in the Forest on the Verbal Expressiveness of Preschoolers : the case of a forest kindergarten attached to University of Incheon,오소영,학위논문(석사)-- 인천대학교 교육대학원: 유아교육전공 유아교육 2010. 8,2010,"숲유치원 , 문학활동 , 언어표현능력"
84,숲유치원에서의 수ㆍ과학 활동이 유아의 수학 개념과 과학적 탐구능력에 미치는 영향 : 인천대학교 숲유치원을 중심으로 = The Effects of Mathematics and Science activities in the Forest kindergarten to the Children's Mathematical Concept and Science Process Skill,이남희,학위논문(석사)-- 인천대학교 교육대학원: 유아교육전공 유아교육 2011. 8,2011,"숲유치원 , 수학적 개념 , 과학적 탐구능력"
85,12주간의 운동프로그램 참여가 요추 추간판탈출증 환자의 요부신전근력 및 평형성에 미치는 효과 = The Effect of 12 Weeks Exercise Program on Lumbar Extension Strength and Balance Ability in Patients with Lumbar Herniated Intervertebral Disc,이좌근,학위논문(석사)-- 인천대학교 교육대학원 : 체육교육전공 2012. 8,2012,"추간판탈출증 , 요부신전근력 , 평형성"
86,중국 녹색금융 연구 = China Green Finance Research,안봉국,학위논문(석사)-- 인천대학교 대학원 : 무역학 2012. 2,2012,"중국 , 녹색금융 , 중국 녹색금융 연구"
87,영재교육 연수를 통한 영재와 영재교육에 대한 교사들의 인식 변화 = The Changes in Teachers' Perception toward Gifted Children and Gifted Education by Study and Training,이미선,학위논문(석사)-- 인천대학교 교육대학원 : 영재교육전공 2008. 2,2008,"영재 , 영재교육 , 영재교사 , 연수 , 인식 , 변화"
88,장기복무 제대군인 자녀의 대학학자금 지원방안에 관한 연구 = Research on the college financial aid programs for the children of military retirees,정규완,학위논문(석사)-- 인천대학교 행정대학원 : 사회복지학과 2010. 2,2010,
89,중등 체육수업에서 학습관여의 개념적 구조 탐색 = The Exploration on Conceptional Structure of Academic Engagement-PE in Secondary Physical Education Classes,이준호,학위논문(석사)-- 인천대학교 교육대학원 : 체육교육전공 2014. 8,2014,"""학습관여"" , "" 행동적 관여"" , "" 정서적 관여"" , "" 인지적 관여"" , ""주도적 관여"""
90,단속판을 이용한 수직벽 응축 촉진에 관한 연구,구본형,석사학위논문-- 仁川大學校 敎育大學院 1996,1996,"단속판 , 수직벽 , 응축 , 촉진 , 인천대학교"
91,태권도 운동이 비만 중학생의 호흡순환계 및 기초체력에 미치는 영향 = The Effect of Taekwondo on Cardio-respiratory system and Basic Fitness in middle school students,조진형,학위논문(석사)-- 인천대학교 교육대학원 : 체육교육전공 2013. 2,2013,
92,노인요양시설의 서비스 격차에 관한 연구 : - 인천광역시 중심으로 - = A Study on Service Gap among Long-term Care Facilities: The Case of Incheon Metropolitan City,오명미,학위논문(석사)-- 인천대학교 행정대학원 : 사회복지학과 2010. 2,2010,
93,노인의 여가스포츠 참가에 따른 정신건강이 심리적 복지감에 미치는 영향 = The effect to the psychological wellbeing on mental health with leisure sports participation of the elderly,윤귀현,학위논문(박사)-- 인천대학교 일반대학원 : 체육학과(일반) 2006. 8,2006,"노인의 여가스포츠 , The , effect , to , the , psychological , wellbeing , on , mental , health"
94,과학영재집단과 일반집단의 인지적ㆍ정의적 특성 비교 연구 = (A) comparative study on cognitive and affectivcharacteristics of scientifically gifted and non-gifted students,양태연,학위논문(석사)-- 인천대학교 교육대학원: 물리교육전공 2003. 2,2003,"과학영재집단 , 입반집단 , 인지적 , 정의적"
95,표준보육과정을 통한 생태유아교육프로그램 적용사례 = Application case of ecological early childhood education program according to standard child card curriculum,이미애(李美愛),학위논문(석사)-- 인천대학교 교육대학원 : 유아교육전공(교육) 2008. 2,2008,"표준보육과정 , standard , child , card , curriculum"
96,인천광역시 교육재정의 건전성 분석 = An Analysis of Educational Finance for Incheon Metropolitan City,고경희,학위논문(석사)-- 인천대학교 행정대학원 : 일반행정학과 2013. 2,2013,지방교육재정
97,산업체현장실습생의 근로자성에 대한 연구 : 관련 판례 분석 및 설문조사를 이용하여,이진표,학위논문(석사)-- 인천대학교 교육대학원 : 전자교육전공 2019. 8,2019,"산업체현장실습 , 산업체현장실습생 , 근로자성 , 근로기준법 , 처우개선"
98,"청소년의 체력통제소재와 운동태도 및 운동실천의도의 관계 = Relationship between Fitness Locus of Control, Exercise Attitudes, and Intention of Exercise Practice",최성우,학위논문(석사)-- 인천대학교 교육대학원 : 체육교육전공 2010. 2,2010,"체력통제소재 , 운동태도 , 운동실천의도"
99,키바운더를 이용한 평형성 훈련이 대학생 볼링선수의 경기력에 미치는 영향 = The Effects of Balance Training Using Kybounder on Collegeate Bowler's Performance,김우중,학위논문(석사)-- 인천대학교 대학원 : 체육학과 체육학 전공 2010. 2,2010,키바운더
100,국내 자생하는 치마버섯 집단에 대한 유전자 및 염료 분해능 다양성 = Genetic diversity and dye-decolorizing spectrum of Schizophyllum commune population in Korea,최용준,학위논문(석사)-- 인천대학교 일반대학원 : 생명과학과 미생물(곰팡이) 2019. 8,2019,"치마버섯 , 계통분류 , Haplotype network , 염료 분해능"
101,전문계 고등학교의 우수이용 시스템 적용효과 예측 = A prediction of rain-water use system application effects in technical high-schools,조영일,학위논문(석사)-- 인천대학교 교육대학원: 건축교육전공 54 2010. 2,2010,"우수이용 시스템 , 우수(빗물) , 전문계 고등학교"
